gray,temperature_c
0,150.319489
1,150.319489
2,150.319489
3,150.319489
4,150.319489
5,150.319489
6,150.319489
7,150.319489
8,150.319489
9,150.319489
10,150.319489
11,150.319489
12,150.319489
13,150.319489
14,150.319489
15,150.319489
16,150.319489
17,150.319489
18,150.319489
19,150.319489
20,150.319489
21,150.319489
22,150.319489
23,150.319489
24,150.319489
25,150.319489
26,150.319489
27,150.319489
28,150.319489
29,150.319489
30,150.319489
31,150.319489
32,150.319489
33,150.319489
34,150.319489
35,150.319489
36,150.319489
37,150.319489
38,150.319489
39,150.319489
40,150.319489
41,150.319489
42,150.319489
43,150.319489
44,150.319489
45,150.319489
46,150.319489
47,150.319489
48,150.319489
49,150.319489
50,150.319489
51,150.319489
52,150.319489
53,150.319489
54,150.319489
55,150.319489
56,150.319489
57,150.319489
58,150.319489
59,150.319489
60,150.319489
61,150.319489
62,150.319489
63,150.319489
64,150.319489
65,150.319489
66,150.319489
67,150.319489
68,150.319489
69,150.319489
70,150.319489
71,150.319489
72,150.319489
73,150.319489
74,150.319489
75,150.319489
76,150.319489
77,150.319489
78,150.319489
79,150.319489
80,150.319489
81,152.396164
82,155.910538
83,158.306702
84,164.536743
85,167.092651
86,170.926529
87,174.600632
88,178.913742
89,182.428116
90,185.942490
91,190.575073
92,193.769974
93,196.485611
94,200.319489
95,203.993607
96,208.146973
97,211.341858
98,215.015991
99,218.849854
100,223.482437
101,226.357834
102,229.712463
103,233.386581
104,237.699677
105,240.734833
106,244.568695
107,246.964859
108,252.875397
109,255.750793
110,259.265167
111,261.821075
112,267.571899
113,270.287537
114,274.121399
115,277.635773
116,281.948883
117,284.984039
118,288.817902
119,291.693298
120,295.207672
121,299.840240
122,303.674133
123,296.964844
124,312.140564
125,314.057495
126,318.210876
127,320.926514
128,324.760376
129,329.233215
130,331.948883
131,323.162933
132,340.415344
133,344.249207
134,347.444092
135,207.188492
136,333.067078
137,159.904160
138,272.843445
139,162.460068
140,161.182098
141,242.172531
142,308.466461
143,295.686890
144,280.830658
145,296.086273
146,311.341858
147,257.028748
148,274.840271
149,292.651764
150,206.869003
151,325.559113
152,203.993607
153,322.843445
154,218.690079
155,235.143768
156,251.597443
157,272.523956
158,293.450470
159,265.974426
160,333.386597
161,266.293945
162,296.325867
163,308.146973
164,203.354630
165,257.188507
166,311.022369
167,287.060699
168,263.099030
169,296.006378
170,279.472839
171,262.939301
172,310.702881
173,325.718842
174,316.453674
175,307.188507
176,299.840271
177,292.492004
178,308.945679
179,325.399353
180,293.130981
181,322.523956
182,292.492004
183,301.970184
184,311.448364
185,320.926514
186,336.581482
187,334.664551
188,335.782745
189,328.620880
190,321.458984
191,314.297119
192,307.135254
193,299.973389
194,292.811493
195,294.147552
196,295.483582
197,296.819641
198,298.155670
199,299.491730
200,300.827759
201,302.163818
202,303.499847
203,304.835907
204,306.171936
205,307.507996
206,307.507996
207,307.507996
208,307.507996
209,307.507996
210,307.507996
211,307.507996
212,307.507996
213,307.507996
214,307.507996
215,307.507996
216,307.507996
217,307.507996
218,307.507996
219,307.507996
220,307.507996
221,307.507996
222,307.507996
223,307.507996
224,307.507996
225,307.507996
226,307.507996
227,307.507996
228,307.507996
229,307.507996
230,307.507996
231,307.507996
232,307.507996
233,307.507996
234,307.507996
235,307.507996
236,307.507996
237,307.507996
238,307.507996
239,307.507996
240,307.507996
241,307.507996
242,307.507996
243,307.507996
244,307.507996
245,307.507996
246,307.507996
247,307.507996
248,307.507996
249,307.507996
250,307.507996
251,307.507996
252,307.507996
253,307.507996
254,307.507996
255,307.507996
